100,0.000015,0.000027
200,0.000054,0.000078
300,0.000032,0.000070
400,0.000057,0.000121
500,0.000089,0.000180
600,0.000124,0.000263
700,0.000168,0.000345
800,0.000218,0.000445
900,0.000271,0.000560
1000,0.000337,0.001297
1100,0.000905,0.001877
1200,0.001090,0.001837
1300,0.001067,0.002155
1400,0.001290,0.002346
1500,0.001237,0.002448
1600,0.001409,0.002453
1700,0.001410,0.002782
1800,0.001592,0.003131
1900,0.001624,0.003142
2000,0.001798,0.003299
2100,0.001745,0.003496
2200,0.001901,0.003594
2300,0.002004,0.003735
2400,0.002068,0.004011
2500,0.002179,0.004114
2600,0.002267,0.004261
2700,0.002344,0.004510
2800,0.002446,0.004885
2900,0.002575,0.005184
3000,0.002788,0.005576
3100,0.003022,0.005919
3200,0.003254,0.006323
3300,0.003483,0.006714
3400,0.003626,0.007215
3500,0.003853,0.007619
3600,0.004084,0.007994
3700,0.004215,0.008417
3800,0.004607,0.008931
3900,0.004911,0.009294
4000,0.005073,0.009771
4100,0.005236,0.010238
4200,0.005492,0.010709
4300,0.005802,0.011208
4400,0.006078,0.011743
4500,0.006344,0.012315
4600,0.006655,0.012827
4700,0.006951,0.013619
4800,0.007376,0.014027
4900,0.007520,0.014541
5000,0.007928,0.015203
5100,0.008145,0.015724
5200,0.008685,0.016885
5300,0.008964,0.016935
5400,0.009142,0.017620
5500,0.009413,0.018367
5600,0.009750,0.018923
5700,0.010088,0.020038
5800,0.010883,0.020666
5900,0.010842,0.021038
6000,0.011299,0.021745
6100,0.011639,0.022663
6200,0.011953,0.023156
6300,0.012301,0.023945
6400,0.013180,0.028074
6500,0.013095,0.025597
6600,0.013685,0.026455
6700,0.014105,0.027188
6800,0.014478,0.028151
6900,0.014862,0.028808
7000,0.015327,0.029722
7100,0.015797,0.030518
7200,0.016183,0.031223
7300,0.016744,0.032106
7400,0.017141,0.032961
7500,0.017623,0.033880
7600,0.018082,0.034780
7700,0.018560,0.035603
7800,0.019099,0.036631
7900,0.019486,0.037590
8000,0.020135,0.038590
8100,0.020582,0.039518
8200,0.020974,0.040607
8300,0.021880,0.041520
8400,0.022066,0.042344
8500,0.022600,0.043215
8600,0.023223,0.044426
8700,0.023693,0.045344
8800,0.024375,0.046692
8900,0.025297,0.048533
9000,0.025898,0.051799
9100,0.027198,0.051322
9200,0.027109,0.051578
9300,0.027833,0.052716
9400,0.028376,0.053557
9500,0.028657,0.054955
9600,0.029574,0.056731
9700,0.030691,0.058187
9800,0.030522,0.058107
9900,0.031247,0.059490
10000,0.032017,0.060691
10100,0.032467,0.061765
10200,0.033913,0.063099
10300,0.033730,0.064310
10400,0.034678,0.092686
10500,0.038884,0.071754
10600,0.039156,0.074294
10700,0.039097,0.072870
10800,0.036992,0.070472
10900,0.037600,0.071126
11000,0.038122,0.072224
11100,0.039425,0.077152
11200,0.041358,0.077783
11300,0.041987,0.079055
11400,0.042644,0.080014
11500,0.043355,0.081314
11600,0.043715,0.080837
11700,0.043427,0.082226
11800,0.044117,0.083383
11900,0.044827,0.084852
12000,0.045507,0.085945
12100,0.046106,0.087617
12200,0.047034,0.088920
12300,0.047677,0.090308
12400,0.048371,0.091754
12500,0.049131,0.093359
12600,0.049888,0.094977
12700,0.050785,0.096013
12800,0.051717,0.098275
12900,0.052718,0.099318
13000,0.052965,0.100687
13100,0.054043,0.102346
13200,0.054699,0.103836
13300,0.055507,0.105313
13400,0.056406,0.107201
13500,0.057461,0.108657
13600,0.058156,0.109977
