TextFile,TextSize,PatternFile,PatternSize,TimeSeconds,Matches
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_10.txt,10,0.000007000,8
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_20.txt,20,0.000005000,0
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_30.txt,30,0.000006000,7
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_40.txt,40,0.000005000,0
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_50.txt,50,0.000005000,7
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_60.txt,60,0.000005000,0
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_70.txt,70,0.000005000,7
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_80.txt,80,0.000005000,0
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_90.txt,90,0.000005000,6
inputs/texts/text_1k.txt,1000,inputs/patterns/pattern_100.txt,100,0.000006000,0
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_10.txt,10,0.000009000,15
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_20.txt,20,0.000009000,0
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_30.txt,30,0.000010000,14
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_40.txt,40,0.000010000,0
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_50.txt,50,0.000010000,15
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_60.txt,60,0.000009000,0
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_70.txt,70,0.000011000,15
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_80.txt,80,0.000010000,0
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_90.txt,90,0.000010000,14
inputs/texts/text_2k.txt,2000,inputs/patterns/pattern_100.txt,100,0.000009000,0
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_10.txt,10,0.000014000,23
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_20.txt,20,0.000014000,0
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_30.txt,30,0.000015000,22
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_40.txt,40,0.000014000,0
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_50.txt,50,0.000015000,22
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_60.txt,60,0.000014000,0
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_70.txt,70,0.000015000,22
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_80.txt,80,0.000015000,0
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_90.txt,90,0.000015000,21
inputs/texts/text_3k.txt,3000,inputs/patterns/pattern_100.txt,100,0.000014000,0
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_10.txt,10,0.000020000,30
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_20.txt,20,0.000018000,0
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_30.txt,30,0.000019000,29
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_40.txt,40,0.000019000,0
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_50.txt,50,0.000019000,29
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_60.txt,60,0.000030000,0
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_70.txt,70,0.000020000,29
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_80.txt,80,0.000018000,0
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_90.txt,90,0.000020000,29
inputs/texts/text_4k.txt,4000,inputs/patterns/pattern_100.txt,100,0.000019000,0
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_10.txt,10,0.000026000,37
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_20.txt,20,0.000023000,0
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_30.txt,30,0.000025000,36
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_40.txt,40,0.000023000,0
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_50.txt,50,0.000024000,37
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_60.txt,60,0.000024000,0
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_70.txt,70,0.000024000,37
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_80.txt,80,0.000023000,0
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_90.txt,90,0.000025000,36
inputs/texts/text_5k.txt,5000,inputs/patterns/pattern_100.txt,100,0.000022000,0
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_10.txt,10,0.000028000,45
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_20.txt,20,0.000027000,0
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_30.txt,30,0.000030000,44
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_40.txt,40,0.000027000,0
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_50.txt,50,0.000029000,44
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_60.txt,60,0.000029000,0
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_70.txt,70,0.000029000,44
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_80.txt,80,0.000027000,0
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_90.txt,90,0.000030000,43
inputs/texts/text_6k.txt,6000,inputs/patterns/pattern_100.txt,100,0.000027000,0
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_10.txt,10,0.000033000,52
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_20.txt,20,0.000031000,0
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_30.txt,30,0.000035000,51
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_40.txt,40,0.000032000,0
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_50.txt,50,0.000035000,52
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_60.txt,60,0.000031000,0
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_70.txt,70,0.000034000,52
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_80.txt,80,0.000033000,0
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_90.txt,90,0.000034000,51
inputs/texts/text_7k.txt,7000,inputs/patterns/pattern_100.txt,100,0.000034000,0
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_10.txt,10,0.000038000,60
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_20.txt,20,0.000037000,0
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_30.txt,30,0.000038000,59
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_40.txt,40,0.000036000,0
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_50.txt,50,0.000039000,59
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_60.txt,60,0.000037000,0
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_70.txt,70,0.000039000,59
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_80.txt,80,0.000037000,0
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_90.txt,90,0.000039000,58
inputs/texts/text_8k.txt,8000,inputs/patterns/pattern_100.txt,100,0.000037000,0
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_10.txt,10,0.000042000,67
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_20.txt,20,0.000042000,0
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_30.txt,30,0.000047000,66
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_40.txt,40,0.000045000,0
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_50.txt,50,0.000048000,66
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_60.txt,60,0.000044000,0
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_70.txt,70,0.000044000,67
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_80.txt,80,0.000041000,0
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_90.txt,90,0.000045000,66
inputs/texts/text_9k.txt,9000,inputs/patterns/pattern_100.txt,100,0.000041000,0
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_10.txt,10,0.000046000,74
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_20.txt,20,0.000046000,0
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_30.txt,30,0.000047000,73
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_40.txt,40,0.000046000,0
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_50.txt,50,0.000047000,74
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_60.txt,60,0.000046000,0
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_70.txt,70,0.000048000,74
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_80.txt,80,0.000046000,0
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_90.txt,90,0.000048000,73
inputs/texts/text_10k.txt,10000,inputs/patterns/pattern_100.txt,100,0.000046000,0
